,"Risk of bias domains^1^",,,,,,,
"Reference
Author year","S","B","E","I","SE","C","D","O"
"Scott 1990",3,4,2,2,3,1,1,1
"Hubbard 1996
",3,3,2,2,3,1,1,1
"Mullen 1998
",3,3,2,2,3,1,1,4
"Baumgartner 2000
",3,2,2,2,3,1,1,1
"Hubbard 2000
",4,4,2,3,3,2,1,2
"Miyake 2005
",4,4,2,3,3,1,1,1
"Gustafson 2007
",4,4,2,3,3,1,1,1
"Garcia-Sancho 2011
",3,3,2,3,3,1,1,1
"Awadalla 2012, men
",4,3,2,3,3,1,1,1
"Awadalla 2012, women
",4,3,2,3,3,1,1,1
"Paolocci 2013, soft wood (abstract only)
",4,3,2,3,3,1,1,1
"Paolocci 2013, hard wood (abstract only)
",4,3,2,3,3,1,1,1
"Koo 2017
",4,1,2,2,3,1,1,1
