,Cases (N=494),Controls (N=466)
centre number (control source clinic),,
1 (General Surgery),42,39
2 (Gastroenterology/Stroke),13,11
3 (Cardiology),38,36
4 (Urology),52,52
5 (Diabetes/Rheumatology),40,31
6 (Sleep Apnea),34,37
7 (Neurology),15,16
8 (ENT),40,39
9 (Rheumatology),31,29
10 (Oncology) ,21,73
11 (Urology),11,11
12 (Haematology),4,3
13 (Respiratory),13,14
14 (Cardiology),20,16
15 (Cardiology),15,14
16 (Orthopaedics),39,2
17 (???),6,6
18 (???),15,1
19 (General Surgery),7,9
20 (Urology),31,25
21 (Respiratory),7,2
